         1005431 function calls (990802 primitive calls) in 0.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.003    0.000 colors.py:1036(from_list)
 1170/388    0.003    0.000    0.003    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.003    0.003 lzma.py:1(<module>)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
   114/57    0.000    0.000    0.003    0.000 core.py:3722(copy)
      409    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.000    0.000    0.003    0.003 version.py:159(Version)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
      241    0.000    0.000    0.003    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
      356    0.001    0.000    0.003    0.000 inspect.py:782(_finddoc)
       35    0.000    0.000    0.003    0.000 rcsetup.py:107(<listcomp>)
      536    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      438    0.001    0.000    0.003    0.000 colors.py:268(to_rgba)
      297    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       10    0.001    0.000    0.003    0.000 typing.py:2910(__new__)
       28    0.001    0.000    0.003    0.000 util.py:182(_collapse_string_to_ranges)
      384    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.003    0.003 decimal.py:1(<module>)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
       18    0.000    0.000    0.003    0.000 rcsetup.py:662(cycler)
     2654    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
     55/8    0.000    0.000    0.003    0.000 core.py:3635(leave_whitespace)
        1    0.000    0.000    0.003    0.003 ImagePalette.py:1(<module>)
       70    0.000    0.000    0.003    0.000 deprecation.py:257(rename_parameter)
       65    0.001    0.000    0.003    0.000 deprecation.py:128(deprecate)
        8    0.000    0.000    0.003    0.000 core.py:2678(__init__)
        3    0.000    0.000    0.003    0.001 _common.py:1(<module>)
      120    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
      618    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
   114/57    0.000    0.000    0.003    0.000 core.py:3724(<listcomp>)
       32    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
     1185    0.000    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
     5681    0.003    0.000    0.003    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
        1    0.000    0.000    0.002    0.002 axes3d.py:42(Axes3D)
        1    0.000    0.000    0.002    0.002 widgets.py:1(<module>)
       32    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1699(path_hook_for_FileFinder)
      398    0.001    0.000    0.002    0.000 enum.py:1525(__and__)
        1    0.000    0.000    0.002    0.002 _afm.py:1(<module>)
     1185    0.000    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
       10    0.000    0.000    0.002    0.000 typing.py:2891(_make_nmtuple)
       32    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.002    0.002 layout_engine.py:1(<module>)
       22    0.000    0.000    0.002    0.000 core.py:4779(parseImpl)
    10166    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
 1606/190    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
       12    0.000    0.000    0.002    0.000 _docstring.py:57(<listcomp>)
 1606/190    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
      715    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
